Rank,Year,Position,Name,Age,Games,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,Home_Runs,Runs_Batted_In,Stolen_Bases,Caught_Stealing,Base_On_Balls,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Percentage,On_Base_Plus_Slugging_Percentage_Plus,Total_Bases,Double_Plays_Grounded_Into,Times_Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Intentional_Bases_on_Balls,Dominant_Hand,Switch_Hitter
1,2023,C,J.T. Realmuto,32,135,540,489,70,123,28,5,20,63,16,5,35,138,0.252,0.31,0.452,0.762,106,221,10,9,0,5,3,Right,No
2,2023,1B,Kody Clemens,27,47,148,139,15,32,7,0,4,13,0,0,8,40,0.23,0.277,0.367,0.644,75,51,1,1,0,0,0,Left,No
3,2023,2B,Bryson Stott,25,151,640,585,78,164,32,2,15,62,31,3,39,100,0.28,0.329,0.419,0.747,104,245,10,7,1,8,1,Left,No
4,2023,SS,Trea Turner,30,155,691,639,102,170,35,5,26,76,30,0,45,150,0.266,0.32,0.459,0.778,111,293,12,6,0,1,2,Right,No
5,2023,3B,Alec Bohm,26,145,611,558,74,153,31,0,20,97,4,1,42,94,0.274,0.327,0.437,0.765,108,244,23,5,0,6,1,Right,No
6,2023,LF,Kyle Schwarber,30,160,720,585,108,115,19,1,47,104,0,2,126,215,0.197,0.343,0.474,0.817,122,277,4,6,0,3,5,,No
7,2023,CF,Brandon Marsh,25,133,472,404,58,112,25,6,12,60,10,2,59,144,0.277,0.372,0.458,0.829,127,185,4,4,1,4,2,Left,No
8,2023,RF,Nick Castellanos,31,157,671,626,79,170,37,2,29,106,11,2,36,185,0.272,0.311,0.476,0.788,112,298,17,3,0,6,0,Right,No
9,2023,DH,Bryce Harper,30,126,546,457,84,134,29,1,21,72,,3,80,119,0.293,0.401,0.499,0.9,146,228,,5,0,4,8,Left,No
10,2023,3B,Edmundo Sosa,27,104,300,279,34,70,15,2,10,30,4,2,8,74,0.251,0.293,0.427,0.719,95,119,10,9,2,1,0,Right,No
11,2023,LF,Jake Cave,30,65,203,184,18,39,8,1,5,21,3,0,15,55,0.212,0.272,0.348,0.62,69,64,3,1,1,2,0,Left,No
12,2023,CF,Johan Rojas,22,59,164,149,24,45,9,2,2,23,14,1,5,42,0.302,0.342,0.43,0.771,111,64,1,4,6,0,0,Right,No
13,2023,C,Garrett Stubbs,30,41,125,113,15,23,4,1,1,12,2,0,9,29,0.204,0.274,0.283,0.557,54,32,0,2,1,0,0,Left,No
14,2023,UT,Josh Harrison,35,40,114,103,8,21,3,0,2,10,0,0,3,20,0.204,0.263,0.291,0.554,53,30,2,6,0,2,0,Right,No
15,2023,OF,Cristian Pache,24,48,95,84,12,20,7,1,2,11,2,3,10,27,0.238,0.319,0.417,0.736,100,35,1,0,1,0,0,Right,No
16,2023,1B,Darick Hall,27,18,56,54,2,9,1,0,1,3,0,0,2,18,0.167,0.196,0.241,0.437,20,13,2,0,0,0,0,Left,No
17,2023,IF,Rodolfo Castro,24,14,32,30,2,3,0,0,0,2,0,0,2,12,0.1,0.156,0.1,0.256,-27,3,0,0,0,0,0,Right,Yes
18,2023,CI,Drew Ellis,27,12,29,23,4,5,0,0,2,4,0,1,6,7,0.217,0.379,,0.858,134,11,0,0,0,0,0,Right,No
19,2023,OF,Dalton Guthrie,27,23,28,24,4,4,1,0,0,0,0,0,3,7,0.167,0.286,0.208,0.494,40,5,0,1,0,0,0,Right,No
20,2023,UT,Weston Wilson,28,8,22,16,5,5,0,0,1,2,3,1,6,5,0.313,0.5,0.5,1,177,8,0,0,0,0,0,Right,No
21,2023,P,Michael Plassmeyer,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
22,2023,P,McKinley Moore,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
23,2023,P,Dylan Covey,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
24,2023,P,Cristopher Sánchez,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
25,2023,P,Michael Lorenzen,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
26,2023,P,Jeff Hoffman,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
27,2023,P,Craig Kimbrel,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
28,2023,P,Ranger Suárez,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
29,2023,P,Andrew Vasquez,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
30,2023,P,Andrew Bellatti,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
31,2023,P,Matt Strahm,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
32,2023,P,Aaron Nola,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
33,2023,P,Connor Brogdon,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
34,2023,P,Erich Uelmen,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
